Sample_ID	Well	Plate_ID	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	auc_lin	auc_log	k_lin	k_log	death_lin	death_log	gr	dr	td	lagC	lagP	t_k	t_gr	t_dr	diauxie	MSE	K_Error > 20%
125	C6	220628_Cstr	1	0	0	0.077	0.073	0.082	0.03162916666666667		0.077	0.0013931689431537452	0.010460177396828408	0.0060377272176271035	0.058276211520845896	0.0002678085801847141	0.003286534466860898	2.068694130042148	-0.5231415678556343	0.3350650879189293	0.051328920237289966	0.020833333333333332	0.1	0.05416666666666667	0.13333333333333333	0.0	3.3584012767816555e-07	TRUE
126	C7	220628_Cstr	1	0	0	0.074	0.072	0.09	0.03210833333333333		0.074	0.0032404583316371777	0.032153464682296976	0.011958594677897408	0.1280169282701933	0.00010661123414122675	0.0012683806319917224	1.8372725808876906	-0.22403214512869427	0.37726964837468296	0.029335616281857022	0.0	0.38333333333333336	0.05	0.3958333333333333	1.0	1.8205353892637133e-06	TRUE
127	C8	220628_Cstr	1	0	0	0.073	0.071	0.078	0.03032083333333334		0.073	0.0013080388829371957	0.014904578731074368	0.005375718383980807	0.06498413774630117	0.00038991713761850344	0.005017834862272787	3.5127927049881507	-1.062545364094048	0.19732083238947726	0.051585303111507406	0.020833333333333332	0.16666666666666666	0.058333333333333334	0.17916666666666667	0.0	1.4230927228948724e-07	FALSE
128	C9	220628_Cstr	1	0	0	0.072	0.071	1.246	0.03511666666666667		0.072	5.115897292150111e-06	0.026659212988864207	2.1068069696095204e-05	0.06675559353179493	0.0	0.0	0.0011396400936218574	0.00024169273283025736	608.2158608136313	-58.33582034769186	0.0	0.3958333333333333	0.0	0.3958333333333333	0.0	0.01424091877575197	TRUE
129	C10	220628_Cstr	1	0	0	0.071	0.071	0.072	0.028408333333333327		0.071	9.00003319902661e-10	5.887822203360128e-05	3.201625742299541e-09	0.0001472089561736949	5.6405283221927505e-11	7.94323696309265e-10	2.5800446077464735e-07	-3.425545814670042e-08	2686570.5285823373	-570.3927329328116	0.0	0.35	0.0	0.3958333333333333	0.0	2.0507051621673614e-08	TRUE
130	C11	220628_Cstr	1	0	0	0.071	0.071	0.071	0.028399999999999995		0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	inf	inf	0.0	0.0	0.0	0.0	0.0	0.0	FALSE
131	C12	220628_Cstr	1	0	0	0.075	0.07	0.075	0.0292875		0.075	-0.0006871403040080452	-0.009680756764406044	0.00014742957293889525	0.001151537626607192	0.003990039444201024	0.054603291414686554	0.2599003421642094	-1.463696793428771	2.666972943506182	0.289193514463866	0.0	0.0125	0.24166666666666667	0.2833333333333333	0.0	7.428216744376612e-08	TRUE
132	D1	220628_Cstr	1	0	0	0.07	0.07	0.149	0.047075000000000006		0.07	0.01899028534606348	0.1928919831685289	0.07847912658514339	0.7532720814359788	0.0015844324729899495	0.010714163267899757	10.678458636047727	-0.8081660470980482	0.06491078948604613	0.10958224478087558	0.0	0.36666666666666664	0.15	0.3958333333333333	1.0	1.9371162882030243e-06	FALSE
133	D2	220628_Cstr	1	0	0	0.07	0.07	0.129	0.03309166666666667		0.07	0.005086608362960586	0.057025067485107675	0.058755288213780996	0.6094484078305094	0.00033811381655921013	0.0026293938205528278	11.037252861258695	-1.332981352743649	0.06280069771645137	0.2864343953075381	0.0	0.39166666666666666	0.31666666666666665	0.3958333333333333	1.0	6.782805516109339e-07	FALSE
134	D3	220628_Cstr	1	0	0	0.084	0.081	0.274	0.08402916666666668		0.084	0.05057688929608622	0.34217993661863505	0.18506141498887407	1.162645597184027	0.021589205974332337	0.08377035179274639	13.762591315227104	-2.5190254010599014	0.05036458357904144	0.03742850684352364	0.0125	0.2833333333333333	0.06666666666666667	0.3125	0.0	8.232318149095226e-06	FALSE
